pais,causa,metrica,sexo,edad,anio,valor,limite_superior,limite_inferior
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,13977952.95922438,15692268.996817522,12470184.37150265
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,16401.077306101484,18412.57569514848,14631.932050063378
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,7909246.807392372,8678363.673644193,7197872.550483933
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,23785.26631723367,26098.2108919026,21645.96954677799
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,1275599.7017620536,1430010.3981337063,1126196.6721308893
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,19950.112940259714,22365.06398449668,17613.480758046586
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,850074.6835297309,927977.1256618,778466.0459620163
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,26952.74727843124,29422.747709969583,24682.300282761003
Perú,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,3408979.777741067,3900978.4257659726,2977046.17327634
Perú,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,15680.718354302737,17943.82718256585,13693.89835507754
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,2953951.4106783285,3330027.6790090385,2632688.19054982
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,15678.246377940792,17674.290175570983,13973.12560339536
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,28070638.671547435,31535258.46651476,25082870.66903538
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,18797.57965674915,21117.671740804963,16796.812674555982
Chile,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,2588452.4480333845,2883702.682550241,2308016.188790105
Chile,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,19380.268202919146,21590.86656112304,17280.58508063989
Paraguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,603827.9736811252,691016.7469432564,528306.5460599529
Paraguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,14854.645714236569,16999.55849323912,12996.75886559198
Colombia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,5054536.840838446,5670517.001963763,4489956.763413482
Colombia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,15519.668324545788,17411.000427999075,13786.157259102964
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,7924686.72858587,8685175.831466224,7203520.636235439
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,23547.168253957545,25806.861977398967,21404.317703869627
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1990,1647245.551044312,1848370.5158077213,1481560.850893323
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1990,16430.489023423826,18436.61465769048,14777.863132005115
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,3031849.4396370263,3425536.9102906524,2699633.294876592
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,15709.912235456124,17749.853774541123,13988.492164539652
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,28299466.86222859,31803904.88520832,25175612.12226545
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,18648.426059183992,20957.736466644583,16589.907627672936
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,1709798.675228249,1916334.067678609,1538385.0335321894
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,16634.302270236218,18643.64535682071,14966.6519377586
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,1299953.9117552098,1468638.6471433064,1146718.070377941
